liban,lumiban,lumiliban,liliban,nilibanan,nililibanan,lilibanan
abuso,umabuso,umaabuso,aabuso,inabuso,inaabuso,aabusuhin
tanggap,tumanggap,tumatanggap,tatanggap,tinanggap,tinatanggap,tatanggapin
akusa,nag-akusa,nang-aakusa,mang-aakusa,inakusahan,inaakusahan,aakusahan
kuha,kumuha,kumukuha,kukuha,kinuha,kinukuha,kukuhain
arte,umarte,umaarte,aarte,inartehan,inaartehan,aartehan
dagdag,nagdagdag,nagdaragdag,magdaragdag,dinagdagan,dinaragdagan,dadagdagan
sulong,sumulong,sumusulong,susulong,sinulong,sinusulong,susulungin
galit,nanggalit,nanggagalit,manggagalit,ginalit,ginagalit,gagalitin
galit,nagalit,nagagalit,magagalit,ikinagalit,ikinakagalit,ikakagalit
galit,nanggalit,nanggagalit,manggagalit,ginalit,ginagalit,gagalitin
inis,nang-inis,nang-iinis,mang-iinis,ininis,iniinis,iinisin
sagot,sumagot,sumasagot,sasagot,sinagot,sinasagot,sasagutin
lapit,lumapit,lumalapit,lalapit,nilapitan,nilalapitan,lalapitan
dating,dumating,dumarating,darating,dinatnan,dinaratnan,daratnan
tanong,nagtanong,nagtatanong,magtatanong,tinanong,tinatanong,tatanungin
akala,nag-akala,nag-aakala,mag-aakala,inakala,inaakala,aakalain
lusob,lumusob,lumulusob,lulusob,niluson,nilulusob,lulusubin
kamit,nakamit,nakakamit,makakamit,nakamtan,nakakamtan,makakamtan
dalo,dumalo,dumadalo,dadalo,dinaluhan,dinadaluhan,dadaluhan
pansin,napansin,napapansin,mapapansin,pinansin,pinapansin,papansinin
akit,naakit,naaakit,maaakit,inakit,inaakit,aakitin
bawal,nagbawal,nagbabawal,magbabawal,ibinawal,ibinabawal,ibabawal
tahol,tumahol,tumatahol,tatahol,tinahulan,tinatahulan,tatahulan
umpisa,nag-umpisa,nag-uumpisa,mag-uumpisa,inumpisahan,inuumpisahan,uumpisahan
niwala,naniwala,naniniwala,maniniwala,pinaniwalaan,pinaniniwalaan,paniniwalaan
kagat,kumagat,kumakagat,kakagat,kinagat,kinakagat,kakagatin
laga,naglaga,naglalaga,maglalaga,nilaga,nilalaga,ilalaga
hiram,humiram,humihiram,hihiram,hiniram,hinihiram,hihiramin
utang,umutang,umuutang,uutang,inutang,inuutang,uutangin
dala,nagdala,nagdadala,magdadala,dinala,dinadala,dadalhin
hatid,naghatid,naghahatid,maghahatid,hinatid,hinahatid,ihahatid
balik,nagbalik,nagbabalik,magbabalik,ibinalik,ibinabalik,ibabalik
labas,naglabas,naglalabas,maglalabas,nilabas,nilalabas,ilalabas
buhay,bumuhay,bumubuhay,bubuhay,binuhay,binubuhay,bubuhayin
akyat,nag-akyat,nag-aakyat,mag-aakyat,inakyat,inaakyat,iaakyat
sunog,nagsunog,nagsusunog,magsusunog,sinunog,sinusunog,susunugin
bili,bumili,bumibili,bibili,binili,binibili,bibilhin
tawag,tumawag,tumatawag,tatawag,tinawag,tinatawag,tatawagin
tawag,tumawag,tumatawag,tatawag,tinawagan,tinatawagan,tatawagan
dala,nagdala,nagdadala,magdadala,dinala,dinadala,dadalhin
sunong,nagsunong,nagsusunong,magsusunong,sinunong,sinusunong,susunungin
pasan,nagpasan,nagpapasan,magpapasan,pinasan,pinapasan,papasanin
bitbit,nagbitbit,nagbibitbit,magbibitbit,binitbit,binibitbit,bibitbitin
kipkip,nagkipkip,nagkikipkip,magkikipkip,kinipkip,kinikipkip,kikipkipin
huli,humuli,humuhuli,huhuli,hinuli,hinuhuli,huhulihin
abot,nag-abot,nag-aabot,mag-aabot,inabutan,inaabutan,aabutan
palit,nagpalit,nagpapalit,magpapalit,pinalitan,pinapalitan,papalitan
bihis,nagbihis,nagbibihis,magbibihis,binihisan,binibihisan,bibihisan
daya',nandaya',nandadaya',mandadaya',dinaya',dinadaya',dadayain
pili',pumili',pumipili',pipili',pinili',pinipili',pipiliin
palakpak,pumalakpak,pumapalakpak,papalakpak,pinalakpakan,pinapalakpakan,papalakpakan
linis,naglinis,naglilinis,maglilinis,nilinis,nililinis,lilinisin
akyat,umakyat,umaakyat,aakyat,inakyat,inaakyat,aakyatin
ipon,nag-ipon,nag-iipon,mag-iipon,inipon,iniipon,iipunin
punta,pumunta,pumupunta,pupunta,pinuntahan,pinupuntahan,pupuntahan
balik,bumalik,bunabalik,babalik,binalikan,binabalikan,babalikan
usap,nag-usap,nag-uusap,mag-uusap,pinag-usapan,pinapag-usapan,papag-usapan
kopya,kumopya,kumokopya,kokopya,kinopya,kinokopya,kokopyahin
bilang,bumilang,bumibilang,bibilang,binilang,binibilang,bibilangin
ligaw,lumigaw,lumiligaw,liligaw,niligawan,nililigawan,liligawan
takip,nagtakip,nagtatakip,magtatakip,tinakpan,tinatakpan,tatakpan
takip,nagtakip,nagtatakip,magtatakip,pinagtapan,pinapagtakpan,papagtakpan
tawid,tumawid,tumatawid,tatawid,tinawid,tinatawid,tatawirin
iyak,umiyak,umiiyak,iiyak,iniyakan,iniiyakan,iiyakan
gamot,gumamot,gumagamot,gagamot,ginamot,ginagamot,gagamutin
hiwa',naghiwa',naghihiwa',maghihiwa',hiniwa',hinihiwa',hihiwain'
tatad,nagtadtad,nagtatadtad,magtatadtad,tinadtad,tinatadtad,tatadtarin
gayat,naggayat,naggagayat,maggagayat,ginayat,ginagayat,gagayatin
gupit,naggupit,naggugupit,maggugupit,ginupit,ginugupit,gugupitin
sibak,nagsibak,nagsisibak,magsisibak,sinibak,sinisibak,sisibakin
pugot,nagpugot,nagpupugot,magpupugot,pinugot,pinupugot,pupugutan
tanggal,nagtanggal,nagtatanggal,magtatanggal,tinanggal,tinatanggal,tatanggalin
sayaw,sumayaw,sumasayaw,sasayaw,sinayaw,sinasayaw,sasayawin
linlang,nanglinlang,nanlilinlang,manlilinlang,nilinlang,nililinlang,lilinlangin
unlad,umunlad,umuunlad,uunlad,inunlad,inuunlad,uunlarin
patay,namatay,namamatay,mamamatay,pinatay,pinapatay,papatayin
